field	discovery_year	status	recoverable_oil	recoverable_gas	recoverable_oe	produced_oil	produced_gas
6707/10-1 AASTA HANSTEEN	1997	PDO APPROVED	0.00	45.50	46.40	0.00	0.00
24/6-2 ALVHEIM	1998	PRODUCING	43.30	8.70	52.00	28.74	3.67
6507/5-1 SKARV	1998	PRODUCING	13.70	40.00	58.50	8.35	10.16
6406/2-7 (Erlend)	1999	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.88	1.02	2.13	0.00	0.00
6407/9-9 (Hasselmus)	1999	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.00	0.09	0.13	0.00	0.00
6506/6-1 (Victoria)	2000	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.00	26.79	26.79	0.00	0.00
6608/10-6 SVALE	2000	PRODUCING	7.10	0.40	7.60	5.92	0.26
7122/7-1 GOLIAT	2000	PDO APPROVED	28.50	0.00	28.50	0.00	0.00
15/12-12 REV	2001	PRODUCING	0.70	2.60	3.30	0.73	2.65
6506/11-7 MORVIN	2001	PRODUCING	10.80	5.10	17.20	6.56	2.48
6507/11-6 SIGRID	2001	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.36	1.92	2.61	0.00	0.00
6507/7-13	2001	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.91	0.05	0.96	0.00	0.00
25/4-9 S VILJE	2003	PRODUCING	13.40	0.00	13.40	10.53	0.47
25/8-14 S	2003	PRODUCING	15.20	0.40	15.60	11.25	0.25
34/10-48 S GIMLE	2004	PRODUCING	3.00	1.50	4.80	2.85	0.82
31/2-N-11 H	2005	PLANNING PHASE	0.33	0.00	0.33	0.00	0.00
35/11-13 (Astero)	2005	PLANNING PHASE	3.42	0.61	4.07	0.00	0.00
35/2-1 (Peon)	2005	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.00	19.54	19.54	0.00	0.00
6406/9-1 LINNORM	2005	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.00	24.35	24.93	0.00	0.00
1/3-K-5 TAMBAR ØST	2007	PRODUCING	0.30	0.00	0.30	0.00	0.00
16/1-8 EDVARD GRIEG	2007	PRODUCING	26.20	1.80	28.60	0.00	0.00
35/11-15 S FRAM H-NORD	2007	PRODUCING	0.70	0.00	0.70	0.38	0.00
6507/11-8	2007	SHUT DOWN	0.30	2.10	2.80	0.29	2.22
16/1-9 IVAR AASEN	2008	PDO APPROVED	23.90	4.50	29.30	0.00	0.00
29/6 ISLAY	2008	PRODUCING	0.00	0.10	0.10	0.00	0.08
34/12-1 (Afrodite)	2008	DEVELOPMENT LIKELY BUT NOT CLARIFIED	1.24	11.21	13.39	0.00	0.00
34/3-1 S KNARR	2008	PRODUCING	11.40	0.30	12.50	1.14	0.07
34/8-14 S VISUND SØR	2008	PRODUCING	3.00	8.50	12.50	1.62	1.92
6407/6-6 MIKKEL SØR	2008	PLANNING PHASE	0.63	2.15	3.33	0.00	0.00
6407/7-8 (Noatun)	2008	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.49	2.03	2.80	0.00	0.00
6608/10-12 SKULD	2008	PRODUCING	5.60	0.40	6.10	2.53	0.28
15/12-21 (Grevling)	2009	DEVELOPMENT LIKELY BUT NOT CLARIFIED	7.69	0.11	7.80	0.00	0.00
16/1-12 (Edvard Grieg Sør)	2009	DEVELOPMENT LIKELY BUT NOT CLARIFIED	5.08	0.45	5.72	0.00	0.00
24/9-9 S BØYLA	2009	PRODUCING	3.40	0.20	3.60	0.69	0.07
25/8-17 JETTE	2009	PRODUCING	1.00	0.00	1.00	0.37	0.01
30/5-3 S (Corvus)	2009	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.44	5.49	5.93	0.00	0.00
6407/8-5 S HYME	2009	PRODUCING	4.10	0.60	4.90	1.54	0.20
6507/3-8 (Gjøk)	2009	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.00	1.41	1.72	0.00	0.00
6705/10-1 (Asterix)	2009	PLANNING PHASE	0.00	17.81	18.11	0.00	0.00
16/1-14 (Apollo)	2010	DEVELOPMENT LIKELY BUT NOT CLARIFIED	5.18	0.17	5.42	0.00	0.00
16/2-6 JOHAN SVERDRUP	2010	PDO APPROVED	279.50	8.50	291.70	0.00	0.00
