name	mainArea	discoveryYear	recoverableOilMillSm3	recoverableGasBillSm3	recoverableOeMillSm3
35/10-2	North sea	1996	0.0	2.8	3.58
34/11-2 S (Nøkken)	North sea	1996	1.71	3.89	6.51
GLITNE	North sea	1995	8.9	0.0	8.9
6406/2-1 LAVRANS	Norwegian sea	1995	2.43	9.33	13.21
TUNE	North sea	1995	3.3	18.5	22.18
KVITEBJØRN	North sea	1994	32.3	94.7	148.85
VOLUND	North sea	1994	12.5	1.2	13.7
JOTUN	North sea	1994	23.2	1.1	24.3
VOLVE	North sea	1993	10.3	1.0	11.78
BRYNHILD	North sea	1992	0.9	0.0	0.9
2/4-17 TJALVE	North sea	1992	0.59	0.84	1.42
25/8-4 (D-struktur)	North sea	1992	8.34	0.0	8.34
MARULK	Norwegian sea	1992	0.5	6.6	8.24
SVALIN	North sea	1992	7.7	0.0	7.7
NORNE	Norwegian sea	1992	91.3	10.6	104.37
OSELVAR	North sea	1991	0.9	0.5	1.4
ENOCH	North sea	1991	0.3	0.0	0.3
6506/11-2 (Lange)	Norwegian sea	1991	0.54	0.24	0.88
GRANE	North sea	1991	143.7	0.0	143.7
VALE	North sea	1991	2.5	2.5	5.0
TRYM	North sea	1990	1.6	4.0	5.6
FRAM	North sea	1990	37.0	11.5	50.4
SKIRNE	North sea	1990	2.3	10.1	12.4
ALVE	Norwegian sea	1990	1.8	6.1	9.8
BLANE	North sea	1989	0.8	0.0	0.8
GJØA	North sea	1989	13.2	35.7	65.62
EMBLA	North sea	1988	12.8	5.9	20.03
2/12-1 MJØLNER	North sea	1987	4.32	0.84	5.17
TORDIS	North sea	1987	65.3	4.8	73.52
MIKKEL	Norwegian sea	1987	6.2	32.8	58.11
7122/6-1 (Tornerose)	Barents sea	1987	0.0	3.69	3.87
YME	North sea	1987	7.9	0.0	7.9
7121/5-2 (Snøhvit Beta)	Barents sea	1986	0.0	2.5	2.8
6406/3-2 (Trestakk)	Norwegian sea	1986	9.36	1.83	12.09
VISUND	North sea	1986	36.3	55.1	104.32
VIGDIS	North sea	1986	69.2	1.9	73.57
NJORD	Norwegian sea	1986	29.6	18.5	56.84
25/2-10 S (Frigg-GammaDelta)	North sea	1986	12.71	0.0	12.71
HEIDRUN	Norwegian sea	1985	186.0	49.0	239.75
GAUPE	North sea	1985	0.2	0.4	0.6
VALEMON	North sea	1985	4.7	24.3	31.28
6506/12-3 (Lysing)	Norwegian sea	1985	1.19	0.17	1.43
OSEBERG SØR	North sea	1984	67.2	21.3	92.68
DRAUGEN	Norwegian sea	1984	144.4	1.7	151.61
SNØHVIT	Barents sea	1984	0.0	224.4	265.43
VARG	North sea	1984	16.3	0.3	16.6
TAMBAR	North sea	1983	10.2	2.2	13.35
TYRIHANS	Norwegian sea	1983	35.2	42.8	92.82
SIGYN	North sea	1982	0.8	7.6	19.33
MIME	North sea	1982	0.4	0.1	0.5
HULDRA	North sea	1982	5.2	17.3	22.69
GUNGNE	North sea	1982	0.2	15.1	23.79
15/8-1 UTGARD	North sea	1982	2.57	3.16	7.5
SLEIPNER ØST	North sea	1981	0.2	67.8	119.87
ÅSGARD	Norwegian sea	1981	103.4	210.0	403.84
7120/12-2 (Alke Sør)	Barents sea	1981	0.0	11.37	12.92
VEGA	North sea	1981	8.2	16.9	36.88
VESLEFRIKK	North sea	1981	54.8	4.9	62.93
OSEBERG ØST	North sea	1981	28.2	0.4	28.79
18/10-1 (Mackerel)	North sea	1980	1.22	0.0	1.22
BRAGE	North sea	1980	60.9	5.6	69.92
GYDA	North sea	1980	36.2	6.3	46.11
OSEBERG	North sea	1979	401.7	122.5	548.52
TROLL	North sea	1979	280.4	1432.8	1762.01
SNORRE	North sea	1979	267.5	6.6	283.22
GINA KROG	North sea	1978	16.9	12.0	35.17
TOMMELITEN GAMMA	North sea	1978	3.9	9.7	14.74
15/5-2 EIRIN	North sea	1978	0.0	6.11	6.64
MARTIN LINGE	North sea	1978	5.9	19.5	31.65
GULLFAKS	North sea	1978	377.0	23.1	405.42
GULLFAKS SØR	North sea	1978	62.4	84.8	170.19
1/9-1 TOMMELITEN ALPHA	North sea	1977	8.29	14.56	23.89
STATFJORD NORD	North sea	1977	42.4	2.2	46.69
ULA	North sea	1976	83.2	3.9	93.18
25/2-5 LILLE FRØY	North sea	1976	3.11	1.14	4.24
STATFJORD ØST	North sea	1976	37.7	4.1	45.79
MURCHISON	North sea	1975	13.9	0.3	14.77
LILLE-FRIGG	North sea	1975	1.3	2.2	3.5
VALHALL	North sea	1975	144.8	26.9	181.2
GUDRUN	North sea	1975	11.9	6.2	20.76
STATFJORD	North sea	1974	576.1	81.4	702.04
FLYNDRE	North sea	1974	0.4	0.1	0.5
ODIN	North sea	1974	0.0	27.3	27.5
25/4-3 (Gekko)	North sea	1974	0.2	2.84	3.04
HOD	North sea	1974	10.3	1.8	13.05
NORDØST FRIGG	North sea	1974	0.0	11.6	11.7
SLEIPNER VEST	North sea	1974	3.6	137.0	189.11
ØST FRIGG	North sea	1973	0.0	9.2	9.3
HEIMDAL	North sea	1972	6.5	45.2	51.7
17/12-1 VETTE	North sea	1972	7.38	0.06	7.44
2/5-3 (Sørøst Tor)	North sea	1972	3.1	0.87	3.97
ALBUSKJELL	North sea	1972	7.4	15.5	24.8
EDDA	North sea	1972	4.8	2.0	7.18
FRIGG	North sea	1971	0.0	116.2	116.7
ELDFISK	North sea	1970	131.2	42.4	180.82
VEST EKOFISK	North sea	1970	12.2	26.0	40.86
TOR	North sea	1970	24.5	10.9	37.68
EKOFISK	North sea	1969	545.6	158.8	731.95
COD	North sea	1968	2.9	7.3	11.15
BALDER	North sea	1967	74.2	1.9	76.1
