name	dscDiscoveryYear	status	nmaName	recoverableOilMillSm3	recoverableGasBillSm3	recoverableOeMillSm3
GIMLE	2004	PRODUCING	North sea	2.9	0.9	4.18
EDVARD GRIEG	2007	PRODUCING	North sea	26.2	1.8	28.95
TAMBAR ØST	2007	PRODUCING	North sea	0.3	0.0	0.3
YTTERGRYTA	2007	SHUT DOWN	Norwegian sea	0.3	2.2	3.26
FRAM H-NORD	2007	PRODUCING	North sea	0.7	0.0	0.7
ISLAY	2008	PRODUCING	North sea	0.0	0.1	0.1
IVAR AASEN	2008	PDO APPROVED	North sea	23.3	4.4	29.41
KNARR	2008	PRODUCING	North sea	8.9	0.2	10.24
VISUND SØR	2008	PRODUCING	North sea	2.7	7.5	12.1
SKULD	2008	PRODUCING	Norwegian sea	5.1	0.3	5.59
JETTE	2009	PRODUCING	North sea	0.5	0.0	0.5
HYME	2009	PRODUCING	Norwegian sea	4.2	0.6	5.18
ATLA	2010	PRODUCING	North sea	0.3	1.2	1.5
MARIA	2010	PDO APPROVED	Norwegian sea	25.0	2.5	31.3
JOHAN SVERDRUP	2010	PDO APPROVED	North sea	279.5	8.5	295.03
